epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9404,0.96808,0.59003,1.08702,0.95902,0.94444,0.97352,0.79024,0.67566,0.39552,0.89319,0.000398551,0.000398551,0.000398551
2,18.5287,0.79782,0.45252,0.94481,0.95366,0.95277,0.98455,0.81567,0.61776,0.36565,0.86697,0.000799076,0.000799076,0.000799076
3,22.9511,0.75434,0.44274,0.92625,0.98457,0.89815,0.98172,0.8194,0.56837,0.36319,0.862,0.0011831,0.0011831,0.0011831
4,27.301,0.73448,0.42757,0.91429,0.97193,0.92593,0.98735,0.83061,0.57581,0.37617,0.85524,0.00117575,0.00117575,0.00117575
5,31.7868,0.69662,0.41144,0.89365,0.97169,0.95338,0.97869,0.83259,0.56177,0.36094,0.85096,0.001151,0.001151,0.001151
6,36.0385,0.66954,0.39934,0.88254,0.98418,0.94444,0.97926,0.82638,0.5343,0.33976,0.84823,0.00112625,0.00112625,0.00112625
7,40.5095,0.64492,0.38085,0.8894,0.99025,0.94049,0.97785,0.83707,0.54186,0.34418,0.84626,0.0011015,0.0011015,0.0011015
8,44.8035,0.65136,0.38405,0.88478,0.96254,0.95156,0.97839,0.84282,0.54366,0.34636,0.85577,0.00107675,0.00107675,0.00107675
9,49.1038,0.64054,0.37792,0.88728,0.97118,0.94444,0.98222,0.84833,0.52659,0.32942,0.85047,0.001052,0.001052,0.001052
10,53.3579,0.63995,0.36867,0.88919,0.96294,0.96237,0.97225,0.84151,0.52399,0.3279,0.84833,0.00102725,0.00102725,0.00102725
11,57.6366,0.63599,0.36712,0.90262,0.98469,0.94444,0.97661,0.85265,0.52855,0.33315,0.85353,0.0010025,0.0010025,0.0010025
12,62.0073,0.61361,0.35779,0.8784,0.98075,0.94444,0.98152,0.85453,0.49784,0.34105,0.84501,0.00097775,0.00097775,0.00097775
13,66.2275,0.64406,0.36872,0.88975,0.9891,0.94444,0.98162,0.85491,0.4936,0.31721,0.8377,0.000953,0.000953,0.000953
14,70.6132,0.60526,0.34761,0.86538,0.9787,0.9537,0.99129,0.86346,0.50446,0.3206,0.84224,0.00092825,0.00092825,0.00092825
15,74.8468,0.60619,0.35975,0.89096,0.97221,0.97176,0.9913,0.86737,0.49885,0.31845,0.83653,0.0009035,0.0009035,0.0009035
16,79.0591,0.58774,0.34382,0.86878,0.96327,0.9712,0.98174,0.8566,0.48894,0.31234,0.82918,0.00087875,0.00087875,0.00087875
17,83.2579,0.58444,0.35308,0.86912,0.99018,0.93399,0.98839,0.87031,0.48131,0.31036,0.82864,0.000854,0.000854,0.000854
18,87.501,0.56613,0.3413,0.85579,0.95449,0.9709,0.99076,0.86787,0.49653,0.31453,0.83492,0.00082925,0.00082925,0.00082925
19,91.8157,0.59038,0.33675,0.87183,0.96318,0.969,0.98904,0.88039,0.50183,0.32762,0.83183,0.0008045,0.0008045,0.0008045
20,96.3393,0.56813,0.3325,0.86775,0.96318,0.96897,0.99021,0.89012,0.48231,0.32192,0.82538,0.00077975,0.00077975,0.00077975
21,100.498,0.55943,0.3286,0.86319,0.95959,0.96296,0.9893,0.88199,0.46915,0.31919,0.82099,0.000755,0.000755,0.000755
22,104.746,0.54722,0.3334,0.86015,0.96331,0.97242,0.99191,0.88453,0.4653,0.31192,0.82103,0.00073025,0.00073025,0.00073025
23,108.961,0.56094,0.33186,0.86198,0.98091,0.95163,0.98876,0.86949,0.48477,0.30859,0.82355,0.0007055,0.0007055,0.0007055
24,113.118,0.53751,0.32498,0.84708,0.96298,0.96346,0.99059,0.87772,0.47028,0.30434,0.82003,0.00068075,0.00068075,0.00068075
25,117.397,0.55431,0.31573,0.85526,0.95481,0.97822,0.98178,0.88157,0.45365,0.284,0.82017,0.000656,0.000656,0.000656
26,121.77,0.56844,0.31713,0.8698,0.96271,0.95632,0.98118,0.87934,0.46778,0.28943,0.82083,0.00063125,0.00063125,0.00063125
27,126.386,0.5184,0.30877,0.84872,0.96443,0.97222,0.99198,0.88953,0.46407,0.28872,0.82007,0.0006065,0.0006065,0.0006065
28,131.066,0.51986,0.30653,0.85542,0.9675,0.97222,0.99152,0.89898,0.4425,0.29093,0.8172,0.00058175,0.00058175,0.00058175
29,135.462,0.50762,0.30852,0.84098,0.96338,0.97444,0.99084,0.90059,0.43845,0.2812,0.81553,0.000557,0.000557,0.000557
30,139.717,0.52136,0.31084,0.83956,0.95218,0.97222,0.9887,0.87955,0.47607,0.29243,0.82598,0.00053225,0.00053225,0.00053225
31,144.055,0.52866,0.31354,0.84561,0.963,0.96398,0.9886,0.89832,0.42842,0.28853,0.81277,0.0005075,0.0005075,0.0005075
32,148.439,0.53784,0.30674,0.85251,0.98094,0.95289,0.97911,0.89146,0.44021,0.28307,0.8175,0.00048275,0.00048275,0.00048275
33,153.121,0.50456,0.29575,0.84337,0.97188,0.95998,0.98663,0.89382,0.42375,0.2829,0.81518,0.000458,0.000458,0.000458
34,157.441,0.49588,0.29574,0.84747,0.97228,0.97448,0.99174,0.89927,0.42289,0.28713,0.81348,0.00043325,0.00043325,0.00043325
35,161.737,0.52408,0.30435,0.8459,0.98124,0.96871,0.99154,0.89866,0.4244,0.28004,0.81273,0.0004085,0.0004085,0.0004085
36,166.054,0.51676,0.29656,0.85363,0.9813,0.97188,0.99179,0.89896,0.42583,0.27211,0.81104,0.00038375,0.00038375,0.00038375
37,170.427,0.49309,0.28999,0.83346,0.96939,0.98148,0.99056,0.89809,0.43091,0.2774,0.81188,0.000359,0.000359,0.000359
38,174.81,0.49976,0.29045,0.84,0.96807,0.97222,0.99018,0.89783,0.43438,0.28212,0.81493,0.00033425,0.00033425,0.00033425
39,179.264,0.47887,0.28659,0.83324,0.96997,0.98148,0.99017,0.90258,0.4282,0.27943,0.81264,0.0003095,0.0003095,0.0003095
40,183.75,0.49342,0.29041,0.83548,0.97204,0.96586,0.98972,0.89395,0.43685,0.28036,0.81144,0.00028475,0.00028475,0.00028475
41,191.393,0.46897,0.26959,0.83591,0.97244,0.97996,0.99023,0.89872,0.4225,0.28194,0.81188,0.00026,0.00026,0.00026
42,195.363,0.46325,0.27844,0.82761,0.97523,0.96296,0.98931,0.89647,0.41783,0.27447,0.80909,0.00023525,0.00023525,0.00023525
43,199.407,0.44274,0.26094,0.82283,0.9811,0.96126,0.99014,0.89878,0.42546,0.27553,0.80977,0.0002105,0.0002105,0.0002105
44,203.557,0.44859,0.26706,0.82867,0.98121,0.96722,0.98981,0.89605,0.41305,0.26928,0.80708,0.00018575,0.00018575,0.00018575
45,207.798,0.46747,0.27139,0.84518,0.99042,0.95729,0.98936,0.90322,0.41965,0.27224,0.80842,0.000161,0.000161,0.000161
46,211.923,0.42803,0.25218,0.82017,0.97761,0.96296,0.98935,0.89636,0.4107,0.26929,0.80812,0.00013625,0.00013625,0.00013625
47,215.971,0.44209,0.25831,0.83369,0.99037,0.95242,0.98916,0.89167,0.41188,0.26724,0.80842,0.0001115,0.0001115,0.0001115
48,220.093,0.45602,0.26089,0.82636,0.97205,0.96612,0.98933,0.89748,0.41096,0.26878,0.80797,8.675e-05,8.675e-05,8.675e-05
49,224.288,0.44453,0.25958,0.82608,0.96908,0.97222,0.98938,0.89827,0.40495,0.26627,0.80754,6.2e-05,6.2e-05,6.2e-05
50,228.338,0.44917,0.26136,0.82754,0.96802,0.98148,0.98956,0.90037,0.40365,0.26388,0.80782,3.725e-05,3.725e-05,3.725e-05
