town,road_id,lane_id,entry_s_m,R_m,direction,R_spread,curve_m,heading_deg,lead_in_m,lane_width_m,lanes_left,lanes_right,junction,x,y,v_ay85_kmh,ay_at_130
Town03,67,-1,111.2,99.9,right,0.118,42.0,24.1,0.0,3.5,0,1,False,209.9,179.7,57.5,13.05
Town03,67,3,173.4,106.2,left,0.007,42.0,-22.7,198.0,3.5,1,0,False,154.3,207.1,59.2,12.28
Town03,20,1,74.4,46.2,right,0.066,56.0,69.5,200.0,3.5,0,0,False,-145.5,-92.4,39.1,28.25
Town03,853,-1,33.2,47.5,left,0.158,58.0,-69.9,172.0,3.5,0,0,True,-98.3,-140.4,39.6,27.44
Town03,67,-2,110.7,98.9,right,0.137,42.0,24.3,0.0,3.5,1,0,False,208.2,176.6,57.2,13.18
Town03,1959,-1,5.7,44.2,right,0.148,52.0,67.5,26.0,3.5,0,1,True,-38.9,197.1,38.2,29.52
Town03,67,-1,55.4,60.3,right,0.157,48.0,45.6,122.0,3.5,0,1,False,231.8,136.0,44.6,21.63
Town03,67,-2,55.3,60.3,right,0.165,50.0,47.5,64.0,3.5,1,0,False,228.3,135.8,44.6,21.63
Town03,65,-1,72.7,81.5,right,0.138,28.0,19.7,0.0,3.5,0,1,False,227.7,-181.1,51.9,15.99
Town03,65,-1,29.7,42.7,right,0.159,34.0,45.6,34.0,3.5,0,1,False,195.9,-197.4,37.6,30.54
Town03,65,2,121.5,92.0,left,0.033,28.0,-17.4,280.0,3.5,0,1,False,245.5,-137.0,55.1,14.18
Town03,76,1,170.9,39.9,right,0.052,44.0,63.2,14.0,3.5,0,0,False,167.2,91.0,36.3,32.69
Town03,65,2,79.8,42.7,left,0.147,32.0,-43.0,0.0,3.5,0,1,False,237.1,-178.3,37.5,30.57
Town03,1959,-2,5.7,44.2,right,0.148,52.0,67.4,26.0,3.5,1,0,True,-38.9,193.6,38.2,29.52
Town03,67,2,120.2,60.4,left,0.155,46.0,-43.6,0.0,3.5,0,1,False,206.1,190.3,44.7,21.58
Town03,76,-1,109.2,39.0,left,0.016,42.0,-61.7,118.0,3.5,0,0,False,130.4,132.7,35.9,33.41
Town03,69,3,40.0,49.0,left,0.021,28.0,-32.8,12.0,3.5,1,0,False,-88.6,157.0,40.2,26.64
