town,road_id,lane_id,entry_s_m,R_m,direction,R_spread,curve_m,heading_deg,lead_in_m,lane_width_m,lanes_left,lanes_right,junction,x,y,v_ay85_kmh,ay_at_130
Town12,20228,2,65.0,413.7,right,0.0,204.0,28.3,0.0,3.5,0,0,True,3943.6,2788.0,116.9,3.15
Town12,20221,-2,64.0,490.2,right,0.167,60.0,7.0,44.0,3.25,0,0,True,979.1,3246.6,127.3,2.66
Town12,20221,-1,67.0,465.8,right,0.0,54.0,6.6,48.0,3.25,0,0,True,979.1,3249.6,124.1,2.8
Town12,620,2,29.1,248.8,right,0.079,88.0,20.3,0.0,3.41,0,0,False,1030.9,3124.8,90.7,5.24
Town12,20209,-2,32.0,116.0,left,0.018,172.0,-85.0,34.0,3.5,0,0,True,3817.7,3110.2,61.9,11.24
Town12,797,-4,176.8,1145.6,right,0.149,654.0,32.7,194.0,3.5,2,0,False,-2502.9,4555.6,130.0,1.14
Town12,1018,-1,407.4,138.8,left,0.155,94.0,-38.8,500.0,3.25,0,1,False,-1247.6,4889.0,67.7,9.4
Town12,184,-2,1.4,228.7,right,0.159,74.0,18.5,0.0,3.5,0,0,False,2441.3,3038.8,86.9,5.7
Town12,1043,-1,43.2,62.7,left,0.157,82.0,-75.0,268.0,2.75,0,0,False,1780.8,2580.1,45.5,20.81
Town12,18448,-4,2.2,297.9,right,0.01,46.0,8.8,0.0,3.5,0,0,True,2480.5,3015.5,99.2,4.38
Town12,619,2,46.5,312.3,right,0.051,100.0,18.3,0.0,3.39,0,0,False,-2329.9,6193.3,101.6,4.18
Town12,162,-2,207.0,302.3,left,0.051,88.0,-16.7,4.0,3.5,0,1,False,2021.2,6052.5,100.0,4.31
Town12,713,-4,183.6,2208.1,left,0.081,398.0,-10.3,500.0,3.5,2,0,False,2114.6,6097.8,130.0,0.59
Town12,713,-3,183.6,2208.1,left,0.081,398.0,-10.3,500.0,3.5,1,1,False,2113.9,6101.2,130.0,0.59
Town12,713,-2,183.6,2208.1,left,0.081,398.0,-10.3,500.0,3.5,0,2,False,2113.3,6104.6,130.0,0.59
Town12,837,-4,344.0,1210.8,left,0.0,420.0,-19.9,258.0,3.5,2,0,False,-1315.6,6461.6,130.0,1.08
